trump,1.5454236063583615e-176,1
said,1.118058805885211e-80,1
her,3.906313658418696e-78,1
confirmed,9.239628404493526e-77,1
simply,1.0831386411948255e-72,1
exact,6.520963047031992e-66,1
iodin,4.08380210865301e-64,1
iodine,4.08380210865301e-64,1
atomic_number_53,4.08380210865301e-64,1
call,1.7923996896099615e-59,1
percent,1.1262273566892904e-52,1
debate,3.277152819187064e-52,1
with,4.734085135008464e-50,1
need,7.215487173040657e-48,1
it,1.568757303548808e-43,1
company,2.3677731421921844e-43,1
lead,6.1672876457343555e-43,1
merely,5.582173335517713e-42,1
press,8.892627631143004e-42,1
announced,5.208241524875723e-41,1
clear,4.310674168141747e-40,1
require,6.15541664994926e-40,1
truck,2.2500768859932467e-39,1
reassert,2.347230043396457e-39,1
this,8.542895193506771e-39,1
no,1.2729324683813269e-36,1
apple,3.557827261701374e-36,1
campaign,5.978548849645592e-36,1
best,5.747141533724933e-34,1
companionship,1.0844281201264397e-33,1
all,1.506607260807691e-33,1
non,5.2301387497739935e-33,1
trumpet,1.3009870236639898e-32,1
horn,1.458410376604538e-32,1
ruff,1.9201468547152853e-32,1
trump_card,1.9201468547152853e-32,1
cornet,1.9201468547152853e-32,1
trump_out,1.9201468547152853e-32,1
confirm,3.798740886258266e-32,1
outdo,5.696464387840616e-31,1
outflank,7.469366840978849e-31,1
keep_company,3.0933930229423682e-30,1
ships_company,3.0933930229423682e-30,None
troupe,3.0933930229423682e-30,1
study,7.474656315569374e-30,1
declare,8.998663999607222e-30,1
companion,2.755565630002888e-29,1
cover,3.156261528498528e-29,1
glucinium,4.443888377153288e-29,1
be,4.443888377153288e-29,1
atomic_number_4,4.443888377153288e-29,1
beryllium,4.443888377153288e-29,1
announce,6.249257513058004e-29,1
entirely,8.344130722146261e-29,1
herald,1.3147448489057344e-28,1
disputation,2.633670394069155e-28,1
public_debate,2.633670394069155e-28,1
corroborate,7.543660664931216e-28,1
affirm,7.543660664931216e-28,1
will,9.705547527899625e-28,1
substantiate,1.3415005133175595e-27,1
moot,2.277476190014564e-27,1
12,2.6872859520093578e-27,1
harbinger,2.746599054370239e-27,1
caller,3.1119918463509964e-27,1
denote,3.8432741153926046e-27,1
annunciate,3.8432741153926046e-27,1
pacific,4.0843146473647866e-27,1
deliberate,6.863561019074675e-27,1
articulate,4.540760037830319e-26,1
scoop,4.7564987608052784e-26,1
out,8.137998266442852e-26,1
push,1.0247179340183768e-25,1
crusade,1.2820917600416318e-25,1
also,5.735788974091599e-25,1
ar,2.1001862904022204e-24,1
fight,7.272700864556518e-24,1
per_centum,2.0888609131197102e-23,1
pct,2.0888609131197102e-23,1
accompany,1.4333640501668215e-22,1
spring,2.2414837555461253e-22,1
conjure,4.537767790404595e-22,1
sound_out,5.33056177363161e-22,1
enunciate,5.33056177363161e-22,1
enounce,5.33056177363161e-22,1
she,1.076058593440268e-21,1
companies,1.2976484490807583e-21,1
pressing,1.3906500467742928e-21,1
nominee,1.7537693464810453e-21,1
printing_press,2.257570699040821e-21,1
exhort,2.257570699040821e-21,1
public_press,2.257570699040821e-21,1
insistency,2.257570699040821e-21,1
entreat,2.257570699040821e-21,1
adjure,2.257570699040821e-21,1
beseech,2.257570699040821e-21,1
urge_on,2.257570699040821e-21,1
iron_out,2.257570699040821e-21,1
mechanical_press,2.257570699040821e-21,1
imperativeness,2.257570699040821e-21,1
weightlift,2.257570699040821e-21,1
military_press,2.257570699040821e-21,1
weightlift,2.257570699040821e-21,1
insistence,2.602149580249252e-21,1
iron,3.5570853065743686e-21,1
agitate,3.5996487053738276e-21,1
laptop,3.6988522587104646e-21,1
candidate,3.925568633195576e-21,1
assure,1.1708964685268915e-20,1
urge,1.1841191520478382e-20,1
proclaimed,1.4834211195968364e-20,1
plumbing,2.1864732152259526e-20,1
wardrobe,2.4943075468593332e-20,1
contend,3.2164588993250013e-20,1
closet,3.593916782622554e-20,1
argumentation,6.143121465589302e-20,1
pronounce,7.03258234862961e-20,1
motortruck,9.601638355290637e-20,1
hand_truck,9.601638355290637e-20,1
fix,1.9689025273480331e-19,1
name,2.971616879499094e-19,1
funeral,3.214374956108688e-19,1
shit,3.4449145651707906e-19,1
find,4.0214155889827622e-19,1
past,4.0898571451923505e-19,1
leave,4.851206808159501e-19,1
aside,4.974260222349269e-19,1
conference,7.925314391211914e-19,1
they,8.195950285057296e-19,1
half,9.136718306893292e-19,1
divide,3.1933858604341075e-18,1
account,5.011882527816028e-18,1
malus_pumila,5.417457465539183e-18,None
orchard_apple_tree,5.417457465539183e-18,1
jam,5.6950392258673095e-18,1
party,5.911538040891566e-18,1
from,8.297074836019932e-18,1
draw,9.03090056857511e-18,1
aver,1.2735393042048639e-17,1
allege,1.9662439319524272e-17,1
after,2.0816605323675404e-17,1
now,2.19738194103996e-17,1
weigh,2.5286609370226908e-17,1
photography,2.5472522187901548e-17,1
press_out,2.9863771208922495e-17,1
come_out,3.058473093498176e-17,1
split,5.2458864231983334e-17,1
stool,5.602836556055368e-17,1
argue,6.388128451933012e-17,1
has,6.547339859794356e-17,1
ha,6.547339859794356e-17,None
hour_angle,6.547339859794356e-17,1
rogen,1.0400306025243064e-16,1
sort,1.4996443930497074e-16,1
campaigner,1.561461862080728e-16,1
realize,1.8285793688815924e-16,1
take_shape,2.0623232103170737e-16,1
take_form,2.0623232103170737e-16,1
realise,2.1669565479119726e-16,1
pass,2.289967802283591e-16,1
google,2.686444232192661e-16,1
fellowship,2.953979652644403e-16,1
presidential,4.595168623628341e-16,1
9,4.662021432619403e-16,1
