source,4.498370409795662e-51,1
insider,1.6218052533885765e-48,1
fake,2.7132884350971252e-42,1
false,1.0032775018864764e-30,1
denial,1.764605984146163e-28,1
islam,2.597520982191113e-28,1
debunking,4.323868423717469e-23,1
pipeline,4.8005660076855347e-23,1
staged,1.1099665970432688e-22,1
reported,7.176273285814381e-22,1
claims,1.3447555732209206e-21,1
statement,3.345889298715257e-21,1
website,1.514391922470363e-19,1
snopes,2.549351048409402e-19,1
store,3.1486440666790913e-19,1
ny,2.2357608111722324e-18,1
debunked,2.202391151908066e-17,1
justin,1.7500735866443844e-16,1
shes,9.896836848399605e-16,1
issued,1.0587618190305798e-15,1
brian,1.7978046397945113e-15,1
originated,1.2155935920396958e-14,1
evidence,2.269274836310845e-14,1
mohammed,2.8074545971419345e-14,1
scenes,3.1514925738980504e-14,1
exclusively,4.7452532895677355e-14,1
star,7.275152133227056e-14,1
obvious,7.565654730304742e-14,1
media,1.560751368067245e-13,1
simply,2.239062044107979e-13,1
fbi,2.555650168223954e-13,1
kanye,8.804768346588318e-13,1
muslim,9.390721614281666e-13,1
shopping,1.181161707949901e-12,1
radar,1.8302257363056816e-12,1
president,1.9643256217086926e-12,1
feb,2.463831168195152e-12,1
robert,4.0771520479644905e-12,1
stated,6.198990017362349e-12,1
may,7.799014927658782e-12,1
report,1.3945304513525976e-11,1
offered,1.4000016088127132e-11,1
explain,2.209825957850633e-11,1
amazon,2.209825957850633e-11,1
stock,2.4355974229622207e-11,1
revealed,2.6793594840645613e-11,1
priest,2.8544874415199675e-11,1
crude,2.8544874415199675e-11,1
offer,3.079030524434378e-11,1
sources,9.156876584699237e-11,1
hillary,1.094029581756809e-10,1
call,1.97319597496159e-10,1
tiger,2.630780586159181e-10,1
secret,4.3646599038643093e-10,1
life,5.676335526823382e-10,1
trying,6.138363956935913e-10,1
comey,6.344409089143171e-10,1
total,7.972364025543845e-10,1
told,9.089791606385942e-10,1
kim,1.0379319962868294e-09,1
order,1.0944616618330185e-09,1
contract,1.2266900039862614e-09,1
earned,3.0131794393696823e-09,1
comment,3.3965936059213257e-09,1
dollar,3.6271951459206746e-09,1
quote,4.272579658486763e-09,1
make,6.185669356193075e-09,1
800,8.130734840908647e-09,1
illegal,1.1354494665071939e-08,1
original,1.3392057076765082e-08,1
williams,1.653472951000202e-08,1
reportedly,2.6915454947274227e-08,1
twisted,2.8399311678118578e-08,1
demonstration,2.8399311678118578e-08,1
isis,3.543207213480031e-08,1
investor,3.55021887323556e-08,1
blew,4.033394597837465e-08,1
determined,4.8166073753610894e-08,1
rep,6.148829734410948e-08,1
fabrication,6.208615309668846e-08,1
guards,6.657077675045131e-08,1
mcdonalds,6.657077675045131e-08,1
inserted,6.657077675045131e-08,1
emails,7.656135420535733e-08,1
72,8.223787113748834e-08,1
highway,8.223787113748834e-08,1
customers,9.372080296093652e-08,1
blown,1.139326752097692e-07,1
chronicles,1.446362789973025e-07,1
virgin,1.6088952651109617e-07,1
plans,1.714459767020966e-07,1
sex,1.8381668105224673e-07,1
obamacare,2.2682019505024897e-07,1
advertising,2.4961820224531305e-07,1
friends,2.898282099300378e-07,1
feels,2.9060264219042716e-07,1
philippines,2.9743481452435726e-07,1
tricked,2.9743481452435726e-07,1
religion,3.186329093275177e-07,1
reports,4.008840904612213e-07,1
actor,5.13007534865774e-07,1
caught,5.315812484392234e-07,1
plant,5.379777715706821e-07,1
apparently,5.698241659130258e-07,1
procedures,6.282887546116932e-07,1
aspect,6.282887546116932e-07,1
sole,6.282887546116932e-07,1
houthi,6.519307369799188e-07,1
mediation,6.519307369799188e-07,1
harassed,6.831358204177387e-07,1
telling,8.085763289404152e-07,1
use,8.719014969114131e-07,1
middleton,8.786693189407151e-07,1
club,1.2597776377279635e-06,1
nbc,1.3400533850436744e-06,1
campuses,1.348694211747354e-06,1
dnc,1.348694211747354e-06,1
jennifer,1.4236440854244384e-06,1
montreal,1.430535252748568e-06,1
considering,1.556384510981841e-06,1
silicon,1.980761295544818e-06,1
interests,2.1657664045803334e-06,1
mothers,2.4419393009154805e-06,1
embassy,2.892691296456613e-06,1
face,3.0837156806471183e-06,1
plants,3.086796042566114e-06,1
bostons,3.143086023028156e-06,1
archdiocese,3.143086023028156e-06,1
wasserman,3.143086023028156e-06,1
schultz,3.143086023028156e-06,1
reps,3.229482834857013e-06,1
nothing,3.2687609053528294e-06,1
site,3.503697595194941e-06,1
god,3.503697595194941e-06,1
hiv,3.6752160025834937e-06,1
splitting,3.816179113008886e-06,1
shocking,3.816179113008886e-06,1
however,4.927410791651563e-06,1
michael,4.9744774963469685e-06,1
joshua,5.008388488737986e-06,1
wall,5.086282271835988e-06,1
rather,5.158360839296503e-06,1
alleged,5.738799497456695e-06,1
white,6.003635507833094e-06,1
catholic,6.198328187324729e-06,1
lake,6.9161012121595805e-06,1
baseless,6.9161012121595805e-06,1
sharia,6.9161012121595805e-06,1
peru,7.024596251778186e-06,1
twitter,8.976529412434596e-06,1
anna,1.0167097812208117e-05,1
mistake,1.0167097812208117e-05,1
holiday,1.0615424054542602e-05,1
freedom,1.1362953222610554e-05,1
clearly,1.1421959811541948e-05,1
voices,1.1656926946831173e-05,1
area,1.2377543490942894e-05,1
real,1.3210237051953048e-05,1
arabias,1.3266879746537837e-05,1
street,1.3401600822620259e-05,1
reveal,1.4119601761323532e-05,1
ridiculous,1.4119601761323532e-05,1
chef,1.5244662245548666e-05,1
somali,1.5244662245548666e-05,1
jordans,1.5244662245548666e-05,1
leftist,1.5244662245548666e-05,1
