truth,0.0252420546814595,strongsubj+positive
break,0.027347172541277512,weaksubj+negative
indeed,0.027347172541277512,strongsubj+neutral
harassment,0.02848002163039061,strongsubj+negative
unable,0.02848002163039061,weaksubj+negative
belief,0.03244461670325429,strongsubj+neutral
extreme,0.03244461670325429,strongsubj+negative
fortune,0.03244461670325429,strongsubj+positive
poor,0.03508848395267835,weaksubj+negative
amnesty,0.03534224526954824,weaksubj+positive
desire,0.03534224526954824,strongsubj+positive
kill,0.03706987837798581,weaksubj+negative
decide,0.03735700228268525,weaksubj+neutral
protect,0.0381455037662529,weaksubj+positive
openly,0.038658077789395395,weaksubj+positive
suffering,0.03923940800176448,strongsubj+negative
slaves,0.03938934076850062,strongsubj+negative
regardless,0.03959341698907971,strongsubj+neutral
innocent,0.03966914524874848,weaksubj+positive
cancer,0.03987302101441686,weaksubj+negative
hurt,0.04349224081810492,weaksubj+negative
excited,0.04537694172261589,strongsubj+positive
worried,0.04537694172261589,strongsubj+negative
ready,0.04709230272699144,weaksubj+positive
