debate,2.238144930234901e-22,strongsubj+negative
trump,3.367063563838777e-22,strongsubj+positive
press,1.2043797465872901e-21,weaksubj+positive
claim,5.340652816382742e-18,weaksubj+neutral
universal,1.7702004042238e-08,weaksubj+positive
merry,2.986876283153666e-08,strongsubj+positive
think,3.818478460061688e-06,strongsubj+neutral
war,3.951609326601694e-06,weaksubj+negative
kind,4.474862844965034e-06,strongsubj+positive
yes,2.8198337727251567e-05,strongsubj+positive
even,5.5141142830278244e-05,weaksubj+positive
veto,7.323247665470504e-05,strongsubj+negative
big,7.355165121104603e-05,weaksubj+neutral
split,0.00010563458117432812,weaksubj+negative
will,0.00011607175052373842,strongsubj+positive
particularly,0.00011817924228573796,weaksubj+neutral
want,0.00014177349047261878,strongsubj+positive
air,0.00019795807838460084,strongsubj+neutral
award,0.00025720963845156163,weaksubj+positive
battleground,0.0003030610750128476,strongsubj+negative
skepticism,0.0003030610750128476,strongsubj+negative
direct,0.000309067767148671,weaksubj+neutral
back,0.0004143788496703309,weaksubj+positive
deal,0.0004706917335678106,weaksubj+positive
humane,0.0012704116659909023,strongsubj+positive
1,0.0018294496629609656,strongsubj+n
worst,0.0018336938555511707,strongsubj+negative
pro,0.001987761291108479,weaksubj+positive
poverty,0.0022038503510904014,strongsubj+negative
large,0.0023656523472813666,weaksubj+positive
down,0.0029831183822374165,weaksubj+negative
need,0.0036807557095260607,strongsubj+neutral
correct,0.0040847792823275626,weaksubj+positive
absentee,0.004367663365905486,weaksubj+negative
black,0.004586541673897946,weaksubj+negative
consistent,0.005433608689684446,weaksubj+positive
could,0.005538964298012692,weaksubj+neutral
specific,0.006069531756983919,weaksubj+neutral
angrily,0.006137173944485688,strongsubj+negative
progress,0.006145111841245373,weaksubj+positive
true,0.006613107826695271,strongsubj+positive
fact,0.008886022816731783,strongsubj+neutral
peace,0.008887452359525766,weaksubj+positive
growing,0.010943643422326886,weaksubj+neutral
alas,0.011366948254315815,strongsubj+negative
crisis,0.01144946123378602,weaksubj+negative
high,0.011901974116666431,weaksubj+neutral
rough,0.01214549743458514,weaksubj+negative
love,0.012587680881200406,strongsubj+positive
legacy,0.015372153260063557,weaksubj+neutral
rescue,0.017846205576788232,weaksubj+positive
look,0.01901204498708481,weaksubj+neutral
lost,0.019046033243474248,weaksubj+negative
easier,0.020911213503856826,weaksubj+positive
prominent,0.021246817023368385,weaksubj+positive
most,0.021655150711176546,weaksubj+neutral
disruptive,0.023936883528834236,strongsubj+negative
view,0.024006760868200496,strongsubj+neutral
less,0.025816847232844622,weaksubj+negative
long,0.027677414530311736,strongsubj+negative
actually,0.032840638045179636,strongsubj+neutral
just,0.03384762808658254,weaksubj+positive
contempt,0.03649748450873254,strongsubj+negative
prosperity,0.03649748450873254,weaksubj+positive
important,0.03706036499155639,weaksubj+positive
primary,0.03725285554851885,weaksubj+neutral
thought,0.03837892614496546,weaksubj+neutral
full,0.040176876133833445,weaksubj+neutral
disabled,0.04033332383333677,weaksubj+negative
